Y,X1,X2,X3,X4,X5,X6,X7
-0.01133,977,0.083522201,210.9640045,63.88389969,12.87880039,75.96959686,502
-0.01122,977,0.054543901,203.1990051,62.7655983,12.82999992,374.5169983,502
-0.03025,981,0.0226481,18.43490028,64.25450134,12.82750034,667.7329712,503
-0.041167501,978,0.149545997,73.30079651,63.92919922,12.92949963,582.434021,215
-0.067155004,973,0.145018995,69.77510071,63.93619919,12.87390041,299.8800049,608
-0.0051425,970,0.0933806,32.47119904,63.56900024,13.06449986,37.31840134,503
-0.0025025,972,0.137762994,62.10269928,63.32630157,13.14480019,31.98719978,504
-0.0220825,965,0.122383997,69.44400024,62.78749847,13.26509953,78.6352005,503
-0.0088275,966,0.0417611,30.96380043,62.42100143,13.21450043,22.6576004,502
-0.059675001,966,0.030385699,45,62.00120163,13.33150005,3.998399973,244
-0.071500003,966,0.030385699,45,66.98040009,13.40270042,1.332800031,243
-0.071032502,975,0.030385699,135,66.63189697,12.78009987,0,36
-0.051205002,974,0.059059098,165.9640045,65.57330322,12.70839977,0,36
-0.012925,973,0.064854398,186.3399963,65.42320251,12.73719978,0,77
-0.014245,975,0.0616096,215.5379944,65.21949768,12.80049992,7.997889996,77
-0.051232498,976,0.036518998,191.3099976,65.05690002,12.76729965,6.66490984,77
-0.051342499,975,0.0516457,146.3099976,64.72239685,12.6566,17.3288002,159
-0.047245,974,0.101791002,230.7109985,65.46730042,12.72119999,34.65750122,243
-0.0086075,979,0.087129101,189.4620056,64.46130371,12.76910019,157.2920074,211
-0.0429275,976,0.113241002,161.5650024,65.24970245,12.74880028,255.9320068,504
-0.009735,977,0.154605001,193.3930054,65.52619934,12.85900021,95.97460175,503
-0.00847,977,0.193505004,182.1210022,65.21050262,12.90229988,63.98310089,503
-0.01452,974,0.121964,183.3659973,64.92289734,12.91129971,50.65330124,502
-0.0033825,977,0.071619697,180,64.64209747,12.90789986,427.8869934,309
-0.0419925,976,0.0933806,175.6009979,64.32679749,12.79580021,305.2529907,308
-0.00957,977,0.0202571,135,64.10749817,12.77490044,857.1069946,308
-0.0118525,977,0.125283003,30.96380043,63.16870117,12.81110001,151.9600067,503
-0.00682,972,0.237102002,25.01689911,64.16539764,13.16219997,34.65750122,503
-0.0028325,973,0.235583007,19.5366993,63.99140167,13.05000019,34.65750122,502
-0.0130625,971,0.142160997,40.91439819,63.86740112,13.26469994,31.99150085,503
-0.01474,970,0.091717899,51.34019852,63.65800095,13.26360035,29.32559967,503
-0.00599501,968,0.083522201,59.03620148,63.38560104,13.25080013,29.32559967,503
-0.0130625,968,0.0771368,111.8010025,62.90010071,13.22850037,13.32979965,503
-0.00803,966,0.060771301,135,62.66740036,13.27519989,0,503
-0.008085,966,0.0452963,71.56500244,62.18909836,13.37919998,0,243
-0.087532498,965,0.071619697,36.86989975,65.67970276,13.36900043,0,243
-0.054834999,975,0.0452963,198.4349976,66.02480316,12.72060013,0,78
-0.0560725,977,0.081658997,195.2550049,65.78279877,12.70429993,0,77
-0.01232,977,0.0933806,175.6009979,65.521698,12.69470024,6.665810108,36
-0.029562499,976,0.057295799,180,65.3065033,12.75119972,9.332139969,36
-0.044467501,976,0.054543901,203.1990051,65.13339996,12.73849964,11.99849987,77
-0.0108625,976,0.109557003,191.3099976,65.01129913,12.5777998,29.32959938,159
-0.005005,977,0.147474006,209.0549927,64.89900208,12.69169998,74.65709686,502
-0.004565,978,0.135888994,198.4349976,64.62129974,12.71510029,307.9599915,211
-0.0059125,977,0.135888994,161.5650024,64.76809692,12.66660023,115.9850006,519
-0.02596,978,0.086538397,204.4440002,65.2677002,12.77439976,51.99330139,504
-0.0080025,981,0.073737003,209.0549927,65.17299652,12.63309956,154.6470032,504
-0.0099275,982,0.111873001,140.1940002,64.92220306,12.68379974,61.32550049,504
-0.00704,976,0.0417611,149.0359955,64.64820099,12.74040031,265.2990112,504
-0.005775,982,0.081028402,45,64.22260284,12.77779961,33.32910156,503
-0.015455,975,0.152264997,41.18590164,63.19110107,12.93470001,62.65859985,502
-0.019029999,975,0.172482997,41.63349915,64.52670288,13.3093996,29.32959938,503
-0.026097501,972,0.183434993,51.34019852,64.49210358,13.30780029,17.33110046,502
-0.00811249,968,0.087129101,9.462320328,64.12509918,13.23499966,15.99790001,502
-0.0082225,971,0.059059098,14.03619957,63.95009995,13.2816,45.32749939,503
-0.006545,969,0.086538397,65.55599976,63.75460052,13.3039999,49.32699966,503
-0.0094875,968,0.081658997,52.125,63.57149887,13.37450027,15.99790001,505
-0.068089999,968,0.086538397,24.44400024,63.16540146,13.40390015,3.999490023,503
-0.0705925,968,0.071619697,36.86989975,62.64419937,13.36340046,0,243
-0.076889999,965,0.0679444,71.56500244,62.41230011,13.32540035,0,114
-0.072462499,964,0.059059098,75.96379852,65.96420288,13.37800026,0,115
-0.01749,976,0.081658997,195.2550049,66.46330261,12.68430042,6.666719913,78
-0.00902,977,0.064058602,206.5650024,66.05940247,12.71269989,12.00010014,160
-0.00803,977,0.0417611,149.0359955,65.7602005,12.7258997,10.66670036,160
-0.010835,977,0.040514201,135,65.51529694,12.71360016,5.333370209,77
-0.0298925,976,0.081658997,232.125,65.33380127,12.65139961,116.0009995,77
-0.0061875,980,0.121964,220.2359924,65.34369659,12.5692997,32.00019836,159
-0.022825001,979,0.118551999,205.0169983,65.23169708,12.58580017,242.6679993,502
-0.055247501,982,0.125283003,210.9640045,64.84660339,12.61919975,92.0007019,211
-0.014245,983,0.128116995,153.4349976,64.64330292,12.3664999,53.33369827,502
-0.0061325,978,0.081658997,127.875,64.9260025,12.57800007,261.3349915,211
-0.00684749,979,0.064854398,353.6600037,65.063797,12.56779957,253.3350067,504
-0.0143,978,0.135132,32.00540161,64.87359619,12.69799995,86.66729736,502
-0.016720001,979,0.164881006,34.38029861,64.00689697,12.94320011,98.66739655,503
-0.010065,973,0.186761007,32.47119904,63.86869812,12.92889977,228.0019989,503
-0.01815,973,0.154936999,33.69010162,63.46969986,13.12919998,62.667099,308
-0.006655,972,0.142160997,49.08560181,64.68250275,13.24050045,21.33349991,504
-0.018562499,968,0.105745003,61.69919968,64.10639954,13.31480026,9.333399773,502
-0.059014998,970,0.0101286,315,64.06240082,13.26019955,0,244
-0.071472503,969,0.0202571,45,63.95940018,13.3441,0,244
-0.063222498,969,0.086538397,65.55599976,63.98550034,13.33549976,0,244
-0.066907503,967,0.096087903,63.43489838,63.3757019,13.37030029,4.000030041,115
-0.066165,964,0.060771301,45,63.11750031,13.35789967,0,114
-0.072242498,964,0.036518998,11.30990028,63.1208992,13.34749985,0,244
-0.0903925,966,0.036518998,78.69010162,62.83119965,13.34399986,0,124
-0.076174997,964,0.054543901,113.1989975,66.59210205,13.33110046,0,115
-0.013805,979,0.064854398,186.3399963,66.76580048,12.70269966,2.667049885,78
-0.0215325,978,0.059059098,194.0359955,66.42459869,12.72480011,9.334670067,78
-0.068915002,979,0.0679444,161.5650024,66.13169861,12.73810005,10.66819954,77
-0.040177502,976,0.087129101,170.5379944,65.94020081,12.68089962,10.66819954,159
-0.022605,978,0.142160997,220.9140015,65.75250244,12.68739986,117.3499985,159
-0.018095,979,0.142160997,220.9140015,65.5515976,12.57040024,53.3409996,159
-0.0133925,982,0.090592504,198.4349976,65.41799927,12.55060005,57.34159851,309
-0.028105,980,0.081028402,225,64.98760223,12.53999996,40.00569916,502
-0.0085525,983,0.070899896,135,64.4815979,12.45800018,114.6829987,502
-0.000907505,980,0.145018995,110.2249985,64.74839783,12.47280025,245.3690033,503
-0.0100925,978,0.073037997,101.3099976,64.58550262,12.54629993,58.67509842,506
-0.00561,977,0.118551999,64.98310089,64.38980103,12.6402998,29.33749962,502
-0.018370001,973,0.163317993,52.125,64.56539917,12.9666996,49.3404007,502
-0.017407499,974,0.091717899,38.65980148,64.78690338,13.05910015,25.33699989,502
-0.00723251,972,0.0452963,71.56500244,63.59939957,13.07689953,30.67110062,502
-0.0153175,971,0.100267999,90,64.47319794,13.18089962,5.33409977,504
-0.0473275,970,0.0506428,98.13009644,64.74749756,13.28059959,5.33409977,502
-0.0748,969,0.0202571,225,64.19249725,13.28820038,1.333520055,309
-0.051755,970,0.032029301,116.5650024,64.03369904,13.29539967,0,244
-0.065449998,968,0.087129101,99.46230316,64.08989716,13.33790016,0,115
-0.061434999,966,0.073737003,119.0550003,63.85599899,13.32600021,0,244
-0.078759998,967,0.0771368,158.1990051,63.11750031,13.35789967,0,115
-0.075597502,966,0.073037997,168.6900024,63.1208992,13.34749985,0,115
-0.075735003,965,0.0516457,146.3099976,62.83119965,13.34399986,0,126
-0.084177501,965,0.054543901,113.1989975,66.59210205,13.33110046,0,117
-0.01342,978,0.100267999,180,68.77279663,12.52709961,10.66959953,78
-0.0097625,979,0.118118003,194.0359955,68.39060211,12.48950005,18.6718998,160
